iter	Passed	Remaining
925	67662	5407
926	67738	5334
927	67808	5261
928	67878	5187
929	67946	5114
930	68040	5042
931	68110	4969
932	68184	4896
933	68258	4823
934	68334	4750
935	68412	4677
936	68487	4604
937	68559	4531
938	68630	4458
939	68701	4385
940	68770	4311
941	68838	4238
942	68913	4165
943	68987	4092
944	69061	4019
945	69135	3946
946	69208	3873
947	69278	3800
948	69352	3727
949	69425	3653
950	69499	3580
951	69599	3509
952	69669	3435
953	69744	3362
954	69816	3289
955	69888	3216
956	69959	3143
957	70034	3070
958	70108	2997
959	70185	2924
960	70257	2851
961	70330	2778
962	70405	2705
963	70479	2632
964	70552	2558
965	70625	2485
966	70698	2412
967	70771	2339
968	70846	2266
969	70923	2193
970	70996	2120
971	71091	2047
972	71167	1974
973	71240	1901
974	71315	1828
975	71392	1755
976	71462	1682
977	71531	1609
978	71606	1535
979	71676	1462
980	71748	1389
981	71828	1316
982	71907	1243
983	71983	1170
984	72062	1097
985	72136	1024
986	72207	951
987	72280	877
988	72350	804
989	72418	731
990	72491	658
991	72569	585
992	72645	512
993	72721	438
994	72796	365
995	72872	292
996	72947	219
997	73019	146
998	73094	73
999	73167	0
