Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
19993,0.20166,-0.974976,0.058472,-2.746582,3.90625,-1.647949
20109,0.199219,-0.994507,0.082642,-0.244141,7.93457,0.854492
20225,0.228027,-0.98291,0.09375,-2.258301,1.037598,2.380371
20341,0.218018,-0.969604,0.07251,-3.845215,4.577637,-1.037598
20457,0.226196,-0.998047,0.058716,-2.624511,2.563476,-3.051758
20573,0.257568,-1.140015,0.074219,-4.272461,-3.417969,0.061035
20689,0.289063,-1.218262,0.005371,13.244628,-15.86914,3.051758
20805,0.2229,-1.266846,0.087891,21.606443,-5.615234,-1.037598
20921,0.262329,-1.09082,0.021973,15.930175,-5.249023,1.953125
21037,0.194092,-0.944214,-0.036255,-19.714355,-4.272461,3.417969
21153,0.166992,-0.885742,-0.008301,-24.658201,4.638672,6.286621
21269,0.13916,-0.746704,-0.021484,-37.780762,-31.98242,6.103515
21385,0.216919,-0.84729,0.139648,-19.042969,3.90625,3.967285
21501,0.210327,-0.772827,0.149536,-23.376463,-5.065917,-1.098633
21617,0.159424,-0.741455,0.173828,-8.300781,-1.281738,-13.671874
21733,0.228882,-0.899902,0.295166,3.356933,-2.685547,-4.760742
21849,0.217407,-0.892822,0.277344,-5.432128,-13.061522,-0.427246
21965,0.247192,-0.917114,0.247437,-1.831055,2.868652,1.831055
22081,0.216919,-0.932251,0.243164,-7.019042,4.760742,-1.159668
22197,0.212646,-0.924438,0.25354,-2.01416,1.464844,0.732422
22313,0.217407,-0.90625,0.251465,4.516602,3.234863,0.305176
22429,0.181763,-0.889771,0.235596,5.737304,-0.610352,-0.549316
22545,0.227295,-0.916626,0.210693,5.493164,-9.460449,-0.488281
22661,0.193604,-0.908813,0.245239,3.845215,-3.784179,-3.417969
22777,0.170044,-0.902954,0.229248,-3.540039,-1.037598,-2.685547
22893,0.17749,-0.882935,0.165649,3.051758,2.197266,-7.690429
23009,0.196655,-0.897583,0.158813,14.22119,0.732422,-4.760742
23125,0.201172,-0.91748,0.170898,18.493652,3.601074,0.305176
23241,0.20752,-1.022583,0.122803,5.554199,3.356933,4.821777
23357,0.148437,-0.955322,0.081909,4.394531,14.404296,-0.061035
23473,0.182983,-1.02771,0.050049,9.216309,-0.854492,1.953125
23589,0.221802,-1.038818,0.12085,12.329101,9.094238,-5.554199
23705,0.197021,-0.960205,0.067993,0.976562,-1.89209,-4.943848
23821,0.255493,-0.986572,0.06311,4.394531,11.535644,-2.01416
23937,0.204956,-1.046875,0.050537,7.8125,4.211426,2.197266
24053,0.192261,-1.063599,0.109741,-0.549316,7.324218,1.770019
24169,0.223999,-1.026611,0.090454,-3.417969,4.333496,0.976562
24285,0.212036,-1.033203,0.068115,-3.112793,0.976562,1.037598
24401,0.205322,-0.998413,0.050537,3.662109,2.807617,-3.356933
24517,0.198975,-0.970459,0.058594,2.868652,0.793457,-1.708984
24633,0.200073,-1.005981,0.060669,0.854492,6.286621,-1.647949
24749,0.215454,-0.972046,0.070068,-1.831055,-0.549316,-1.953125
24865,0.258179,-1.034668,-0.059448,-1.525879,0.549316,0.061035
24981,0.154541,-0.97583,0.065796,-2.075195,8.178711,-3.295898
25097,0.191895,-1.037354,0.130127,-0.671387,7.324218,-0.366211
25213,0.291748,-1.368286,0.101929,8.056641,4.333496,9.643555
25329,0.284302,-1.185425,0.088379,6.958007,23.925779,-1.647949
25445,0.167358,-1.095093,0.00708,-3.784179,-17.51709,4.882812
25561,0.181396,-0.967163,-0.027466,-7.080078,4.577637,1.159668
25677,0.211914,-0.932129,0.048828,-7.873535,22.583006,1.281738
25793,0.158325,-0.906616,0.016357,-21.118162,-16.052246,5.92041
25909,0.156738,-0.880615,0.043457,-19.348145,-5.615234,2.319336
26025,0.204346,-0.922119,0.097168,-14.343261,-3.051758,2.746582
26141,0.213867,-0.860962,0.159546,-6.286621,4.638672,-2.197266
26257,0.218872,-0.800903,0.180786,-9.70459,-1.770019,2.685547
26373,0.216553,-0.866211,0.230469,0.366211,-5.859375,3.601074
26489,0.227783,-0.906738,0.244751,0.549316,-16.357422,4.02832
26605,0.236694,-0.911499,0.239258,-9.033203,-5.554199,-2.441406
26721,0.258057,-0.924194,0.197266,-3.723144,-1.770019,-0.366211
26837,0.222656,-0.916016,0.213501,5.249023,-2.319336,-0.183105
26953,0.229736,-0.914429,0.239868,7.995605,-7.629394,0.183105
27069,0.239746,-0.916626,0.264648,8.728027,3.356933,2.01416
27185,0.215942,-0.890869,0.212891,-0.183105,-0.244141,0.732422
27301,0.231689,-0.887817,0.17334,4.760742,6.347656,0.549316
27417,0.220093,-0.879395,0.151611,7.995605,1.098633,-1.525879
27533,0.240845,-0.900513,0.150513,6.591796,1.281738,-2.624511
27649,0.221069,-0.89917,0.109131,0.976562,2.075195,-4.455566
27765,0.202881,-0.90625,0.112549,2.197266,11.718749,-4.821777
